input_url,final_url,page_title,status,reason,http_code,open_access_pdf_found,pdf_url,pdf_path,md_path,converted_to_md,web_captured,elapsed_seconds
https://doi.org/10.1182/bloodadvances.2019001026,https://ashpublications.org/bloodadvances/article/4/4/629/452514/Patientreported-longterm-quality-of-life-after,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._0903760878.md,True,True,1.69
https://doi.org/10.1016/j.bbmt.2018.12.326,https://linkinghub.elsevier.com/retrieve/pii/S1083879118311480,Just a moment...,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._9436aa66e2.md,True,True,3.69
https://clinicaltrials.gov/ct2/show/NCT01014208,https://clinicaltrials.gov/study/NCT01014208,ClinicalTrials.gov,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_clinicaltrials.gov_6a8ee4e029.md,True,True,0.47
https://doi.org/10.2217/fon-2020-0946,https://www.tandfonline.com/doi/full/10.2217/fon-2020-0946,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._ed0f52924f.md,True,True,1.18
https://doi.org/10.1016/j.jval.2020.08.462,https://linkinghub.elsevier.com/retrieve/pii/S1098301520327182,Just a moment...,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._c0cc17f2f4.md,True,True,3.19
https://doi.org/10.1111/bjh.13195,https://onlinelibrary.wiley.com/doi/10.1111/bjh.13195,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._b7dda6e1cb.md,True,True,1.35
https://doi.org/10.1182/blood-2021-151611,https://ashpublications.org/blood/article/138/Supplement%201/3845/481077/Improved-Quality-of-Life-QOL-with-Lisocabtagene,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._3c69e2217a.md,True,True,1.22
https://doi.org/10.1182/bloodadvances.2020003503,https://ashpublications.org/bloodadvances/article/5/8/2245/475826/Effect-of-lisocabtagene-maraleucel-on-HRQoL-and,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._133a382b78.md,True,True,1.08
https://doi.org/10.1016/j.jval.2019.04.383,https://linkinghub.elsevier.com/retrieve/pii/S1098301519305753,Just a moment...,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._f19c3d086e.md,True,True,3.19
https://doi.org/10.1182/blood-2019-127145,https://ashpublications.org/blood/article/134/Supplement_1/66/424436/Impact-of-Lisocabtagene-Maraleucel-lisocel,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._6e4b8bc64f.md,True,True,3.61
https://doi.org/10.1200/jco.19.01492,https://ascopubs.org/doi/10.1200/JCO.19.01492,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._ef7d0fd12a.md,True,True,1.42
https://clinicaltrials.gov/ct2/show/NCT02348216,https://clinicaltrials.gov/study/NCT02348216,ClinicalTrials.gov,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_clinicaltrials.gov_235bde2aae.md,True,True,0.48
https://doi.org/10.1016/j.jval.2021.11.1195,https://linkinghub.elsevier.com/retrieve/pii/S1098301521029909,Just a moment...,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._14cffbb99b.md,True,True,2.86
https://link.springer.com/content/pdf/10.1007/s41669-021-00316-0.pdf,https://link.springer.com/content/pdf/10.1007/s41669-021-00316-0.pdf,,downloaded,,200,True,https://link.springer.com/content/pdf/10.1007/s41669-021-00316-0.pdf,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/pdfs/s41669-021-00316-0.pdf,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/s41669-021-00316-0.md,True,False,47.26
https://doi.org/10.1016/j.jval.2020.04.1590,https://linkinghub.elsevier.com/retrieve/pii/S1098301520318155,Just a moment...,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._03957feefd.md,True,True,2.97
https://doi.org/10.1016/j.jtct.2021.03.005,https://linkinghub.elsevier.com/retrieve/pii/S266663672100748X,ScienceDirect,web_markdown,web_page_captured,200,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_sciencedirect_513152a4cd.md,True,True,3.1
https://www.mdpi.com/2072-6694/14/3/538/pdf,https://www.mdpi.com/2072-6694/14/3/538/pdf,Access Denied,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_access_denied_ee06395186.md,True,True,0.74
https://doi.org/10.1182/blood-2020-136273,https://ashpublications.org/blood/article/136/Supplement%201/3/471313/Cost-Effectiveness-of-Polatuzumab-Vedotin-Plus,Just a moment...,web_markdown,web_page_captured_http_error,403,False,,,/home/longboardfella/cortex_suite/tmp/local_combined_t234_live/retrieval/markdown/scraped_just_a_moment..._aa36736774.md,True,True,1.44
